Stopwords,Consider,
suggest,,
suggested,,
a,,
about,,
above,,
across,,
after,,
again,,
against,,
all,,
almost,,
alone,,
along,,
already,,
also,,
although,,
always,,
among,,
an,,
and,,
another,,
any,,
anybody,,
anyone,,
anything,,
anywhere,,
are,,
area,,
areas,,
around,,
as,,
ask,,
asked,,
asking,,
asks,,
at,,
away,,
b,,
back,No,
backed,,
backing,,
backs,,
be,,
became,,
because,,
become,,
becomes,,
been,,
before,,
began,,
behind,,
being,,
beings,,
best,,
better,,
between,,
both,,
but,,
by,,
c,No,
came,,
can,,
cannot,,
case,No,
cases,,
certain,,
certainly,,
clear,,
clearly,,
come,,
could,,
d,,
did,,
differ,,
different,,
differently,,
do,,
does,,
done,,
down,,
downed,,
downing,,
downs,,
during,,
e,,
each,,
early,,
either,,
end,No,
ended,,
ending,,
ends,,
enough,,
even,,
evenly,,
ever,,
every,,
everybody,,
everyone,,
everything,,
everywhere,,
f,,
face,No,
faces,,
fact,,
facts,,
far,,
felt,,
few,,
find,,
finds,,
first,,
for,,
four,,
from,,
full,,
fully,,
further,,
furthered,,
furthering,,
furthers,,
g,,
gave,,
general,,
generally,,
get,,
gets,,
give,,
given,,
gives,,
go,,
going,,
good,,
goods,,
got,,
great,,
greater,,
greatest,,
group,,
grouped,,
grouping,,
groups,,
h,,
had,,
has,,
have,,
having,,
he,,
her,,
here,,
herself,,
high,No,
higher,,
highest,,
him,,
himself,,
his,,
how,,
however,,
i,,
if,,
important,,
in,,
interest,,
interested,,
interesting,,
interests,,
into,,
is,,
its,,
itself,,
j,,
just,,
k,,
keep,,
keeps,,
kind,,
knew,,
know,,
known,,
knows,,
l,,
large,,
largely,,
last,,
later,,
latest,No,
least,,
less,,
let,,
lets,,
like,,
likely,,
long,,
longer,,
longest,,
m,,
made,,
make,,
making,,
man,,
many,,
may,,
me,,
member,,
members,,
men,,
might,,
more,,
most,,
mostly,,
mr,,
mrs,,
much,,
must,,
my,,
myself,,
n,,
necessary,,
need,,
needed,,
needing,,
needs,,
never,,
new,,
newer,,
newest,,
next,,
no,,
nobody,,
non,,
noone,,
not,,
nothing,,
now,,
nowhere,,
number,,
numbers,,
o,,
of,,
off,,
often,,
old,,
older,,
oldest,,
on,,
once,,
one,,
only,,
open,,
opened,,
opening,,
opens,,
or,,
order,,
ordered,,
ordering,,
orders,,
other,,
others,,
our,,
out,,
over,,
p,,
part,,
parted,,
parting,,
parts,,
per,,
perhaps,,
place,,
places,,
point,No,
pointed,,
pointing,,
points,,
possible,,
present,,
presented,,
presenting,,
presents,,
problem,No,
problems,,
put,,
puts,,
q,,
quite,,
rather,,
really,,
right,,
room,,
rooms,,
s,,
said,,
same,,
saw,,
say,,
says,,
second,,
seconds,,
see,,
seem,,
seemed,,
seeming,,
seems,,
sees,,
several,,
shall,,
she,,
should,,
show,,
showed,,
showing,,
shows,,
side,,
sides,,
since,,
small,,
smaller,,
smallest,,
so,,
some,,
somebody,,
someone,,
something,,
somewhere,,
state,,
states,,
still,,
such,,
sure,,
t,,
take,,
taken,,
than,,
that,,
the,,
their,,
them,,
then,,
there,,
therefore,,
these,,
they,,
thing,,
things,,
think,,
thinks,,
this,,
those,,
though,,
thought,,
thoughts,,
three,,
through,,
thus,,
to,,
today,,
together,,
too,,
took,,
toward,,
turn,,
turned,,
turning,,
turns,,
two,,
u,,
under,,
until,,
up,,
upon,,
us,,
use,,
used,,
uses,,
v,,
very,,
w,,
want,,
wanted,,
wanting,,
wants,,
was,,
way,,
ways,,
we,,
well,,
wells,,
went,,
were,,
what,,
when,,
where,,
whether,,
which,,
while,,
who,,
whole,,
whose,,
why,,
will,,
with,,
within,,
without,,
work,No,
worked,No,
working,No,
works,No,
would,,
x,,
y,,
year,,
years,,
yet,,
you,,
young,,
younger,,
youngest,,
your,,
yours,,
z,,
a's,,
able,,
according,,
accordingly,,
actually,,
afterwards,,
ain't,,
allow,,
allows,,
am,,
amongst,,
anyhow,,
anyway,,
anyways,,
apart,,
appear,,
appreciate,,
appropriate,,
aren't,,
aside,,
associated,,
available,,
awfully,,
becoming,,
beforehand,,
believe,,
below,,
beside,,
besides,,
beyond,,
brief,,
c'mon,,
c's,,
can't,,
cant,,
cause,,
causes,,
changes,,
co,No,
com,,
comes,,
concerning,,
consequently,,
consider,,
considering,,
contain,,
containing,,
contains,,
corresponding,,
couldn't,,
course,,
currently,,
definitely,,
described,,
despite,,
didn't,,
doesn't,,
doing,,
don't,,
downwards,,
edu,,
eg,,
eight,,
else,,
elsewhere,,
entirely,,
especially,,
et,,
etc,,
ex,,
exactly,,
example,,
except,,
fifth,,
five,,
followed,,
following,,
follows,,
former,,
formerly,,
forth,,
furthermore,,
getting,,
goes,,
gone,,
gotten,,
greetings,,
hadn't,,
happens,,
hardly,,
hasn't,,
haven't,,
he's,,
hello,,
help,,
hence,,
here's,,
hereafter,,
hereby,,
herein,,
hereupon,,
hers,,
hi,,
hither,,
hopefully,,
howbeit,,
i'd,,
i'll,,
i'm,,
i've,,
ie,,
ignored,,
immediate,,
inasmuch,,
inc,,
indeed,,
indicate,,
indicated,,
indicates,,
inner,,
insofar,,
instead,,
inward,,
isn't,,
it'd,,
it'll,,
it's,,
kept,,
lately,,
latter,,
latterly,,
lest,,
let's,,
liked,,
little,,
look,,
looking,,
looks,,
ltd,,
mainly,,
maybe,,
mean,,
meanwhile,,
merely,,
moreover,,
name,,
namely,,
nd,,
near,,
nearly,,
neither,,
nevertheless,,
nine,,
none,,
nor,,
normally,,
novel,No,
obviously,,
oh,,
ok,,
okay,,
ones,,
onto,,
otherwise,,
ought,,
ours,,
ourselves,,
outside,,
overall,,
own,,
particular,,
particularly,,
placed,,
please,,
plus,No,
presumably,,
probably,,
provides,,
que,,
qv,,
rd,,
re,,
reasonably,,
regarding,,
regardless,,
regards,,
relatively,,
respectively,,
saying,,
secondly,,
seeing,,
seen,,
self,,
selves,,
sensible,,
sent,,
serious,,
seriously,,
seven,,
shouldn't,,
six,No,
somehow,,
sometime,,
sometimes,,
somewhat,,
